project_id,project_name,sector,ministry,implementing_agency,start_date,planned_end_date,update_date,original_cost,revised_cost,expenditure_to_date,physical_progress_pct,milestones_planned,milestones_completed,delay_cause,status
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-03-01,3964.55,3995.2,602.51,3.0,30,0,None,On Track
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-04-01,3964.55,4025.85,657.2,3.0,30,0,None,On Track
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-05-01,3964.55,4056.5,702.22,7.06,30,1,Land acquisition,Watch
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-06-01,3964.55,4087.15,694.29,7.99,30,2,Weather,Watch
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-07-01,3964.55,4117.81,931.06,11.69,30,3,None,On Track
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-08-01,3964.55,4148.46,864.67,14.14,30,3,Weather,Watch
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-09-01,3964.55,4179.11,1399.47,23.54,30,6,None,On Track
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-10-01,3964.55,4209.76,1062.85,17.66,30,4,Material shortage,Watch
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-11-01,3964.55,4240.41,1299.41,25.33,30,8,Weather,Delayed
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2025-12-01,3964.55,4271.07,1639.6,24.44,30,8,None,On Track
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2026-01-01,3964.55,4301.72,1823.33,36.93,30,11,None,On Track
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2026-02-01,3964.55,4332.37,1988.84,38.19,30,10,None,On Track
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2026-03-01,3964.55,4363.02,2021.19,39.92,30,13,Land acquisition,Delayed
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2026-04-01,3964.55,4393.67,2594.3,49.81,30,13,None,On Track
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2026-05-01,3964.55,4424.32,2800.54,51.19,30,14,Funding issue,Watch
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2026-06-01,3964.55,4454.98,2888.56,56.25,30,15,None,On Track
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2026-07-01,3964.55,4485.63,2926.17,56.98,30,18,Funding issue,Watch
P0001,Railways Infrastructure Project 1,Railways,Ministry of Railways,Agency Epsilon,2025-03-01,2027-07-01,2026-08-01,3964.55,4516.28,2997.91,57.55,30,16,None,On Track
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-03-01,821.19,825.31,112.51,3.0,16,0,Funding issue,Watch
