project_id,final_cost,actual_completion_date,final_overrun_ratio,final_delay_days,cost_overrun_label,delay_label
P0001,4516.28,2027-09-04,0.1392,65,1,1
P0002,895.38,2028-02-14,0.0903,105,0,1
P0003,4786.64,2027-05-26,0.1559,55,1,1
P0004,4146.42,2027-08-05,-0.0048,4,0,0
P0005,2120.94,2027-02-20,0.1271,19,1,0
P0006,5456.92,2026-11-01,0.1145,0,1,0
P0007,3200.2,2028-05-13,0.4057,164,1,1
P0008,3386.7,2026-12-01,0.1991,0,1,0
P0009,1813.77,2027-04-01,0.3036,212,1,1
P0010,1374.88,2028-08-25,0.2095,146,1,1
P0011,1874.36,2026-07-19,0.1803,48,1,1
P0012,519.43,2027-01-14,0.096,105,0,1
P0013,2666.56,2027-02-21,0.4441,82,1,1
P0014,6295.39,2028-06-19,0.454,201,1,1
P0015,1709.12,2028-07-05,0.2848,186,1,1
P0016,3095.85,2026-02-01,0.2765,153,1,1
P0017,2164.59,2026-08-04,0.0375,3,0,0
P0018,4051.03,2026-03-01,0.1356,0,1,0
P0019,1119.86,2025-11-02,0.0949,32,0,1
P0020,2091.12,2025-11-27,0.1452,26,1,0
P0021,862.54,2028-02-08,0.0684,69,0,1
P0022,4994.62,2026-09-01,0.0479,0,0,0
P0023,4714.93,2027-04-05,0.1726,94,1,1
P0024,4946.52,2026-11-03,0.192,186,1,1
P0025,4224.29,2026-06-12,0.2285,103,1,1
P0026,867.21,2028-05-19,0.0347,18,0,0
P0027,2687.25,2027-12-13,0.0407,12,0,0
P0028,1760.53,2026-03-15,0.0714,14,0,0
P0029,1697.19,2026-07-01,0.2458,0,1,0
P0030,3865.88,2026-02-08,0.1091,130,1,1
P0031,5071.18,2026-11-01,0.067,0,0,0
P0032,3009.03,2027-04-27,0.1463,85,1,1
P0033,4040.59,2027-04-01,0.0509,0,0,0
P0034,1719.98,2026-07-02,0.1643,31,1,1
P0035,2665.85,2026-06-29,0.2254,89,1,1
P0036,1910.36,2026-12-29,0.0407,28,0,0
P0037,2638.04,2027-01-21,0.2317,20,1,0
P0038,2962.87,2028-01-02,0.2417,62,1,1
P0039,1146.39,2028-10-09,0.4027,161,1,1
P0040,1629.71,2027-01-01,0.0029,0,0,0
P0041,1388.97,2027-03-01,0.089,0,0,0
P0042,2249.03,2028-01-23,0.1856,144,1,1
P0043,559.91,2027-03-01,0.246,151,1,1
P0044,4920.0,2027-01-05,0.1528,126,1,1
P0045,2277.36,2027-05-18,0.2241,106,1,1
P0046,1019.29,2027-12-01,0.2234,61,1,1
P0047,3600.35,2025-12-05,0.0487,34,0,1
P0048,3636.44,2026-09-01,0.1415,0,1,0
P0049,4516.25,2026-11-12,0.1328,72,1,1
P0050,2121.38,2027-12-25,0.134,54,1,1
P0051,1977.91,2027-12-28,0.2124,118,1,1
P0052,3598.15,2026-06-20,0.1114,50,1,1
P0053,766.72,2027-06-13,0.1922,104,1,1
P0054,4037.03,2027-02-10,0.0023,9,0,0
P0055,1385.26,2028-04-30,0.2811,242,1,1
P0056,3329.29,2027-07-13,0.2173,103,1,1
P0057,7243.01,2028-04-18,0.496,261,1,1
P0058,4979.65,2026-08-14,0.2239,44,1,1
P0059,4082.42,2027-07-01,0.0361,0,0,0
P0060,1614.19,2026-05-03,0.0578,32,0,1
P0061,1357.6,2026-12-01,0.0269,0,0,0
P0062,4006.35,2027-09-15,-0.0075,14,0,0
P0063,1190.49,2027-04-11,0.2446,69,1,1
P0064,1600.4,2026-10-27,0.1868,56,1,1
P0065,930.51,2026-12-26,-0.0178,25,0,0
P0066,4851.17,2027-06-26,0.1937,86,1,1
P0067,3962.67,2025-10-21,0.1553,20,1,0
P0068,724.5,2026-01-01,0.0975,0,0,0
P0069,2950.44,2027-02-06,0.0037,36,0,1
P0070,1420.56,2027-10-01,0.0822,0,0,0
P0071,2269.89,2026-05-22,-0.0049,51,0,1
P0072,967.24,2027-10-16,0.0863,15,0,0
P0073,4844.02,2026-05-06,0.079,94,0,1
P0074,4458.44,2026-12-13,0.1103,42,1,1
P0075,3864.69,2027-07-25,0.2249,85,1,1
P0076,3159.68,2027-04-01,0.0311,0,0,0
P0077,2580.08,2026-09-16,0.1173,15,1,0
P0078,1111.49,2027-04-01,0.0224,0,0,0
P0079,2587.43,2026-05-13,0.0356,12,0,0
P0080,5297.04,2027-07-26,0.1554,55,1,1
P0081,1078.01,2027-04-28,0.3193,148,1,1
P0082,3245.21,2027-03-01,0.0834,0,0,0
P0083,2524.94,2027-07-07,0.1008,67,1,1
P0084,3421.93,2027-05-28,0.2,57,1,1
P0085,5807.98,2028-10-21,0.2997,203,1,1
P0086,2107.61,2027-10-01,0.0996,0,0,0
P0087,1909.96,2027-02-16,0.0209,15,0,0
P0088,387.32,2027-01-27,0.0638,26,0,0
P0089,3476.53,2027-08-29,-0.0063,59,0,1
P0090,4412.28,2028-03-13,0.0609,41,0,1
P0091,2267.54,2027-07-24,0.1128,53,1,1
P0092,3388.76,2025-10-01,0.0088,0,0,0
P0093,487.18,2027-09-04,0.0516,3,0,0
P0094,1051.07,2027-10-14,-0.0168,13,0,0
P0095,4063.73,2026-12-01,0.0486,0,0,0
P0096,2326.5,2026-05-01,0.0137,0,0,0
P0097,4844.92,2027-08-21,0.2386,20,1,0
P0098,1051.16,2028-05-01,0.077,0,0,0
P0099,4234.44,2028-01-20,0.0056,50,0,1
P0100,4522.34,2026-12-11,0.0623,10,0,0
P0101,4252.81,2027-02-25,-0.007,55,0,1
P0102,2179.81,2027-12-31,0.0595,60,0,1
P0103,4408.13,2027-10-19,0.2244,48,1,1
P0104,6590.5,2027-05-20,0.3379,80,1,1
P0105,3992.15,2026-05-03,0.0816,32,0,1
P0106,1244.53,2027-02-01,0.0877,0,0,0
P0107,3366.73,2027-11-27,0.0769,87,0,1
P0108,2161.57,2026-04-01,0.1168,0,1,0
P0109,408.09,2026-04-22,0.0543,80,0,1
P0110,1009.98,2026-10-19,0.1037,110,1,1
P0111,3513.87,2028-08-14,0.3403,257,1,1
P0112,3549.34,2027-03-26,0.4841,115,1,1
P0113,3545.6,2027-08-23,0.0511,83,0,1
P0114,3636.79,2027-04-07,0.0902,96,0,1
P0115,4339.39,2028-07-01,0.243,151,1,1
P0116,2813.43,2028-11-04,0.3208,277,1,1
P0117,3406.21,2027-10-01,0.0752,0,0,0
P0118,5242.47,2026-12-02,0.1144,1,1,0
P0119,5872.0,2027-10-05,0.2009,126,1,1
P0120,548.58,2027-09-19,0.5,141,1,1
P0121,1326.53,2026-09-04,0.0161,34,0,1
P0122,4453.68,2027-11-03,0.2215,33,1,1
P0123,1579.4,2027-04-04,0.0959,3,0,0
P0124,2997.83,2027-04-08,0.1633,66,1,1
P0125,3692.96,2027-11-07,0.0919,67,0,1
P0126,5837.47,2025-11-21,0.5162,20,1,0
P0127,1030.34,2027-10-11,0.0636,71,0,1
P0128,1216.66,2027-06-22,0.2262,141,1,1
P0129,1032.4,2028-03-01,0.0958,0,0,0
P0130,4976.97,2026-03-06,0.0938,5,0,0
P0131,2594.5,2027-10-22,0.2402,51,1,1
P0132,2050.23,2027-02-28,0.1653,119,1,1
P0133,7404.86,2027-05-06,0.5241,186,1,1
P0134,646.75,2027-11-23,0.2164,114,1,1
P0135,3465.78,2028-02-25,-0.007,24,0,0
P0136,5096.57,2027-07-03,0.0987,32,0,1
P0137,2819.22,2026-12-21,0.059,20,0,0
P0138,4936.18,2027-04-29,0.267,149,1,1
P0139,3045.73,2027-04-15,0.0532,73,0,1
P0140,1066.34,2027-08-05,0.4912,126,1,1
P0141,857.58,2027-06-09,0.0513,8,0,0
P0142,1053.66,2026-06-27,0.0089,57,0,1
P0143,2033.17,2027-02-01,0.1373,31,1,1
P0144,3261.59,2026-07-19,0.0276,18,0,0
P0145,852.84,2027-05-22,0.0207,21,0,0
P0146,4605.55,2026-08-11,0.0333,10,0,0
P0147,1690.72,2026-04-18,0.1099,17,1,0
P0148,3758.65,2027-03-23,0.1808,81,1,1
P0149,1598.54,2025-12-01,0.082,0,0,0
P0150,1664.13,2028-03-20,0.0854,110,0,1
P0151,4178.31,2027-02-12,0.4396,256,1,1
P0152,2693.15,2027-10-25,0.1252,85,1,1
P0153,347.75,2027-07-05,0.0082,34,0,1
P0154,1153.2,2027-05-01,0.0053,0,0,0
P0155,4913.47,2026-03-06,0.4053,95,1,1
P0156,2705.1,2026-10-01,-0.0007,61,0,1
P0157,1669.68,2026-10-03,0.2057,216,1,1
P0158,3155.63,2026-09-01,0.051,0,0,0
P0159,3444.26,2028-02-01,0.244,0,1,0
P0160,3136.09,2027-05-01,0.1917,0,1,0
P0161,1144.26,2026-01-01,0.1976,0,1,0
P0162,647.17,2027-03-25,0.3844,205,1,1
P0163,2381.42,2026-01-01,0.0802,0,0,0
P0164,3134.35,2027-06-19,0.0024,18,0,0
P0165,1884.79,2027-09-01,0.1898,92,1,1
P0166,937.84,2027-07-20,0.1611,80,1,1
P0167,5538.59,2026-08-12,0.184,42,1,1
P0168,5727.01,2028-02-09,0.5184,253,1,1
P0169,1522.06,2027-05-06,-0.0161,35,0,1
P0170,1037.62,2027-02-27,0.164,57,1,1
P0171,2970.45,2026-12-01,0.0137,0,0,0
P0172,4814.74,2027-02-16,0.1432,46,1,1
P0173,420.9,2026-11-30,0.1788,60,1,1
P0174,2539.02,2026-12-01,0.0361,0,0,0
P0175,3927.83,2027-05-14,0.1077,43,1,1
P0176,4597.42,2027-11-26,0.5422,178,1,1
P0177,589.47,2026-04-10,0.1599,130,1,1
P0178,3965.71,2027-09-01,0.0597,0,0,0
P0179,2401.25,2026-10-10,0.2368,70,1,1
P0180,6178.45,2027-07-29,0.4075,119,1,1
P0181,5388.33,2028-07-07,0.2204,128,1,1
P0182,2866.05,2027-03-25,0.0121,52,0,1
P0183,3979.0,2027-05-14,0.0632,43,0,1
P0184,2146.1,2025-11-18,0.2994,48,1,1
P0185,3949.18,2026-04-01,0.0604,0,0,0
P0186,5011.42,2026-08-27,0.0497,26,0,0
P0187,3451.06,2028-01-24,0.2493,23,1,0
P0188,656.73,2026-07-15,0.4842,226,1,1
P0189,723.45,2028-01-04,0.2208,248,1,1
P0190,842.75,2027-08-17,0.0856,16,0,0
P0191,1586.08,2026-05-29,0.0851,58,0,1
P0192,3003.35,2027-05-12,0.4361,315,1,1
P0193,478.01,2026-03-01,-0.0091,0,0,0
P0194,2557.43,2026-12-09,0.1503,161,1,1
P0195,2140.67,2026-12-01,0.027,0,0,0
P0196,3613.79,2027-08-03,0.0952,2,0,0
P0197,3724.08,2027-10-02,0.1219,31,1,1
P0198,4850.82,2026-06-22,0.1556,21,1,0
P0199,4603.5,2025-09-01,0.0664,0,0,0
P0200,2397.31,2027-07-01,0.0208,0,0,0
P0201,489.58,2027-11-27,0.1722,118,1,1
P0202,5836.1,2027-04-28,0.2348,58,1,1
P0203,1857.18,2026-10-01,0.0273,0,0,0
P0204,950.06,2026-11-26,0.0032,25,0,0
P0205,1948.31,2026-11-03,0.1109,63,1,1
P0206,3668.57,2025-12-01,-0.0,0,0,0
P0207,1913.95,2027-12-29,0.4686,89,1,1
P0208,4939.61,2027-02-01,0.0797,0,0,0
P0209,3101.68,2028-02-26,0.1534,87,1,1
P0210,1594.94,2027-04-06,0.0226,36,0,1
P0211,4870.4,2026-02-03,0.2178,94,1,1
P0212,5214.95,2027-01-10,0.2044,40,1,1
P0213,4590.16,2027-07-08,0.0126,37,0,1
P0214,3151.25,2027-04-20,0.0514,19,0,0
P0215,4325.4,2026-11-01,0.0073,0,0,0
P0216,2935.1,2028-04-26,0.3617,116,1,1
P0217,4077.49,2027-02-22,0.1548,144,1,1
P0218,2087.09,2027-07-17,0.0399,46,0,1
P0219,3876.26,2026-06-01,-0.0153,0,0,0
P0220,1074.56,2027-05-09,0.0082,8,0,0
P0221,4414.3,2027-10-28,0.1714,88,1,1
P0222,1382.61,2027-11-16,0.1872,138,1,1
P0223,2857.89,2027-09-12,0.2816,134,1,1
P0224,3648.25,2027-06-12,0.2775,72,1,1
P0225,740.37,2026-08-28,0.2406,88,1,1
P0226,5348.12,2026-12-18,0.0983,17,0,0
P0227,5081.49,2027-03-25,0.4569,236,1,1
P0228,3759.08,2028-04-21,0.0884,111,0,1
P0229,5179.09,2026-12-08,0.1463,68,1,1
P0230,3161.07,2027-12-28,0.3992,27,1,0
P0231,4850.23,2027-02-03,0.312,155,1,1
P0232,7212.35,2027-04-14,0.4905,103,1,1
P0233,5536.1,2026-06-20,0.1256,111,1,1
P0234,2149.26,2027-04-13,0.2065,71,1,1
P0235,2733.68,2027-11-24,0.1774,176,1,1
P0236,2304.53,2026-08-29,0.0178,28,0,0
P0237,2904.99,2027-05-05,0.2415,124,1,1
P0238,5532.3,2027-07-10,0.1862,131,1,1
P0239,1552.01,2027-08-31,0.0788,30,0,0
P0240,5085.16,2027-02-19,0.225,80,1,1
P0241,2989.0,2026-09-01,0.0689,0,0,0
P0242,4521.51,2028-02-10,0.279,162,1,1
P0243,4333.77,2027-04-01,0.0778,0,0,0
P0244,7510.06,2027-05-15,0.5214,103,1,1
P0245,4223.75,2027-02-01,0.0632,0,0,0
P0246,1757.64,2026-12-18,0.0922,47,0,1
P0247,4355.95,2027-04-27,0.0651,26,0,0
P0248,4691.56,2028-07-26,0.1541,147,1,1
P0249,2986.56,2026-10-07,0.0843,98,0,1
P0250,739.54,2026-11-01,0.0803,0,0,0
P0251,4950.02,2025-10-27,0.2008,56,1,1
P0252,1663.86,2027-10-09,0.1544,38,1,1
P0253,2506.79,2027-07-22,0.1647,233,1,1
P0254,3545.08,2026-02-03,0.0291,33,0,1
P0255,4187.85,2026-02-15,0.0685,14,0,0
P0256,5177.46,2026-06-24,0.0881,54,0,1
P0257,4018.81,2028-09-25,0.2486,208,1,1
P0258,631.66,2026-09-01,0.0184,0,0,0
P0259,2233.01,2028-05-14,0.1623,195,1,1
P0260,4230.02,2027-02-17,0.0593,47,0,1
P0261,2092.27,2028-01-09,0.1355,69,1,1
P0262,4753.39,2028-01-01,0.0473,31,0,1
P0263,686.81,2028-03-10,0.2301,100,1,1
P0264,6082.59,2027-11-25,0.3077,177,1,1
P0265,1987.45,2028-09-18,0.1783,230,1,1
P0266,2815.99,2026-12-10,0.1578,100,1,1
P0267,2735.43,2026-04-01,0.0162,0,0,0
P0268,2417.45,2026-07-18,0.0885,108,0,1
P0269,2509.07,2027-06-19,0.1814,79,1,1
P0270,1928.85,2026-06-09,0.0049,39,0,1
P0271,4863.7,2026-10-31,0.1039,152,1,1
P0272,1673.02,2027-02-01,0.2102,92,1,1
P0273,2211.59,2026-09-06,0.0038,67,0,1
P0274,4471.03,2026-10-16,0.169,15,1,0
P0275,3659.71,2026-10-07,0.089,67,0,1
P0276,3364.65,2027-08-02,0.0776,32,0,1
P0277,4956.47,2026-10-15,0.1735,75,1,1
P0278,3104.93,2027-05-20,0.2047,49,1,1
P0279,1845.08,2026-12-04,0.4182,186,1,1
P0280,1900.0,2027-04-01,0.1829,59,1,1
P0281,4884.98,2026-07-27,0.1266,26,1,0
P0282,1777.9,2027-06-28,0.0824,58,0,1
P0283,4894.64,2028-01-24,0.0223,23,0,0
P0284,5110.29,2027-01-13,0.0772,43,0,1
P0285,1709.88,2027-05-15,0.0575,103,0,1
P0286,2520.12,2027-01-12,0.1212,103,1,1
P0287,4711.37,2026-11-01,0.052,0,0,0
P0288,2879.07,2026-10-01,-0.0067,0,0,0
P0289,516.79,2025-12-13,0.1861,42,1,1
P0290,1405.68,2028-04-21,-0.0067,20,0,0
P0291,3196.72,2026-08-22,0.1519,82,1,1
P0292,1839.39,2027-10-27,0.1017,56,1,1
P0293,3626.81,2026-06-01,-0.0068,0,0,0
P0294,3848.26,2027-07-31,0.1901,180,1,1
P0295,1397.84,2027-12-16,0.3829,168,1,1
P0296,1680.49,2026-05-03,0.0446,2,0,0
P0297,5772.91,2027-03-08,0.2333,97,1,1
P0298,778.82,2027-06-01,0.0651,0,0,0
P0299,5050.09,2028-02-12,0.5145,226,1,1
P0300,3723.06,2026-11-25,0.2372,116,1,1
P0301,3248.77,2026-11-01,0.0025,0,0,0
P0302,3467.82,2027-06-02,0.0171,1,0,0
P0303,4109.64,2027-07-17,0.079,16,0,0
P0304,3688.34,2027-03-13,0.0808,12,0,0
P0305,1339.58,2027-01-25,0.3183,85,1,1
P0306,3604.36,2027-06-01,0.028,0,0,0
P0307,2609.46,2026-06-21,0.2305,20,1,0
P0308,5503.28,2025-11-01,0.1144,0,1,0
P0309,3006.17,2027-11-03,0.4465,155,1,1
P0310,374.26,2027-04-01,0.0411,0,0,0
P0311,1893.9,2027-08-20,0.0538,80,0,1
P0312,3459.75,2027-06-01,0.0563,0,0,0
P0313,1261.93,2026-11-10,0.0197,70,0,1
P0314,644.64,2027-04-11,-0.0089,10,0,0
P0315,2630.83,2026-05-08,0.0792,68,0,1
P0316,3864.36,2026-01-22,0.2427,52,1,1
